age	educ	income	fips_state	black	other	hisp	female	married	republican	democrat	unemployed	incomedk	partyvote	uerate	totalspend_voter_inf
56.0	2	1	12	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	0.068	2.1497788
76.0	1	2	19	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0		0.039	0.93441844
69.0	2	3	39	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.055	1.5178543
38.0	2	4	42	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0		0.069	1.2139608
56.0	1	3	42	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.069	1.2139608
51.0	2	3	42	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.069	1.2139608
44.0	4	4	27	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.04	2.3343043
29.0	2	2	13	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.056999996	0.2540245
19.0	3	2	13	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.056999996	0.2540245
51.0	2	1	36	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.078	2.3452868
23.0	2	2	27	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.04	2.3343043
85.0	1	1	27	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.04	2.3343043
55.0	4	4	6	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.072	0.91439027
20.0	2	1	6	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.072	0.91439027
64.0	2	4	42	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.069	1.2139608
47.0	3	4	12	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
77.0	3	2	12	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.068	2.1497788
21.0	2	1	1	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	0.059	2.665316
89.0	1	1	39	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.055	1.5178543
71.0	2	3	39	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.055	1.5178543
33.0	2	3	26	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.071	1.7937663
78.0	3	3	17	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.06	1.37532
20.0	2	3	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.068	2.1497788
45.0	4	4	1	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	0.059	2.665316
88.0	2	2	27	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.04	2.3343043
21.0	2	2	27	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.04	2.3343043
32.0	2	4	12	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.068	2.1497788
61.0	2	3	12	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	0.068	2.1497788
78.0	1	1	56	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.03	2.6138167
24.0	2	3	56	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.03	2.6138167
24.0	3	2	6	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	0.072	0.91439027
65.0	2	2	19	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.039	0.93441844
21.0	2	2	5	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0	0.062	1.3673279
19.0	2	2	5	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.062	1.3673279
20.0	2	2	5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.062	1.3673279
57.0	2	4	6	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.072	0.91439027
71.0	2	3	6	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		0.072	0.91439027
80.0	2	2	12	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
76.0	1	2	12	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.068	2.1497788
35.0	3	3	6	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.072	0.91439027
52.0	2	4	6	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.072	0.91439027
40.0	2	3	42	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.069	1.2139608
65.0	2	3	42	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.069	1.2139608
22.0	2	3	56	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.03	2.6138167
29.0	2	3	56	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.03	2.6138167
28.0	2	2	56	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.03	2.6138167
43.0	2	3	19	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.039	0.93441844
31.0	2	3	39	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.055	1.5178543
