"choice","access","cattle","cons150","cons75","cult","smlstk","wage","indiv_id","choice_id"
1,0,40,1,0,0,80,10000,1,5
1,-1,100,0,0,0,0,-4000,1,2
0,0,0,0,0,-5,-80,10000,1,4
0,-1,-100,0,-1,0,200,0,1,8
1,0,0,0,1,5,0,-10000,1,6
1,-1,-40,0,0,5,0,0,1,3
0,-1,0,1,-1,0,0,-10000,1,7
1,0,-60,-1,1,5,0,0,1,1
1,-1,100,0,0,0,0,-4000,2,2
0,0,0,0,0,-5,-80,10000,2,4
1,0,40,1,0,0,80,10000,2,5
0,-1,-100,0,-1,0,200,0,2,8
0,-1,0,1,-1,0,0,-10000,2,7
0,-1,-40,0,0,5,0,0,2,3
1,0,-60,-1,1,5,0,0,2,1
1,0,0,0,1,5,0,-10000,2,6
0,0,-40,-1,1,-5,0,-4000,3,13
0,1,0,-1,0,0,-200,0,3,15
1,0,60,1,0,0,120,0,3,12
1,1,0,1,-1,5,0,-6000,3,11
1,1,100,0,1,0,-200,0,3,16
0,0,60,0,-1,-5,80,4000,3,9
1,0,-60,-1,1,-5,0,4000,3,14
1,1,-60,0,-1,0,0,6000,3,10
0,0,0,0,0,-5,-80,10000,4,4
0,-1,-100,0,-1,0,200,0,4,8
0,-1,0,1,-1,0,0,-10000,4,7
1,0,0,0,1,5,0,-10000,4,6
0,-1,-40,0,0,5,0,0,4,3
1,0,-60,-1,1,5,0,0,4,1
0,-1,100,0,0,0,0,-4000,4,2
1,0,40,1,0,0,80,10000,4,5
0,1,0,-1,0,0,-200,0,5,15
0,0,-40,-1,1,-5,0,-4000,5,13
1,1,0,1,-1,5,0,-6000,5,11
1,0,60,0,-1,-5,80,4000,5,9
1,0,-60,-1,1,-5,0,4000,5,14
1,1,100,0,1,0,-200,0,5,16
1,0,60,1,0,0,120,0,5,12
1,1,-60,0,-1,0,0,6000,5,10
1,0,40,1,0,0,80,10000,6,5
0,0,0,0,0,-5,-80,10000,6,4
0,-1,0,1,-1,0,0,-10000,6,7
1,-1,100,0,0,0,0,-4000,6,2
0,-1,-100,0,-1,0,200,0,6,8
0,-1,-40,0,0,5,0,0,6,3
1,0,0,0,1,5,0,-10000,6,6
1,0,-60,-1,1,5,0,0,6,1
1,0,-40,-1,1,-5,0,-4000,7,13
1,1,0,-1,0,0,-200,0,7,15
1,0,-60,-1,1,-5,0,4000,7,14
0,0,60,0,-1,-5,80,4000,7,9
1,1,-60,0,-1,0,0,6000,7,10
1,1,100,0,1,0,-200,0,7,16
1,1,0,1,-1,5,0,-6000,7,11
1,0,60,1,0,0,120,0,7,12
1,0,40,1,0,0,80,10000,8,5
1,-1,100,0,0,0,0,-4000,8,2
0,0,0,0,0,-5,-80,10000,8,4
1,0,-60,-1,1,5,0,0,8,1
1,0,0,0,1,5,0,-10000,8,6
0,-1,-100,0,-1,0,200,0,8,8
0,-1,0,1,-1,0,0,-10000,8,7
0,-1,-40,0,0,5,0,0,8,3
0,0,-60,-1,1,5,0,0,9,1
1,0,40,1,0,0,80,10000,9,5
1,-1,0,1,-1,0,0,-10000,9,7
0,0,0,0,1,5,0,-10000,9,6
1,-1,100,0,0,0,0,-4000,9,2
0,-1,-100,0,-1,0,200,0,9,8
0,0,0,0,0,-5,-80,10000,9,4
0,-1,-40,0,0,5,0,0,9,3
1,1,100,0,1,0,-200,0,10,16
0,0,60,0,-1,-5,80,4000,10,9
0,1,0,-1,0,0,-200,0,10,15
0,1,-60,0,-1,0,0,6000,10,10
0,0,-40,-1,1,-5,0,-4000,10,13
1,0,-60,-1,1,-5,0,4000,10,14
0,1,0,1,-1,5,0,-6000,10,11
1,0,60,1,0,0,120,0,10,12
0,0,0,0,0,-5,-80,10000,11,4
1,0,0,0,1,5,0,-10000,11,6
1,0,40,1,0,0,80,10000,11,5
1,-1,-40,0,0,5,0,0,11,3
0,-1,100,0,0,0,0,-4000,11,2
0,0,-60,-1,1,5,0,0,11,1
1,-1,-100,0,-1,0,200,0,11,8
0,-1,0,1,-1,0,0,-10000,11,7
0,0,60,0,-1,-5,80,4000,12,9
1,1,-60,0,-1,0,0,6000,12,10
1,1,0,1,-1,5,0,-6000,12,11
0,1,100,0,1,0,-200,0,12,16
1,0,60,1,0,0,120,0,12,12
0,0,-60,-1,1,-5,0,4000,12,14
0,0,-40,-1,1,-5,0,-4000,12,13
1,1,0,-1,0,0,-200,0,12,15
0,0,0,0,0,-5,-80,10000,13,4
1,-1,-40,0,0,5,0,0,13,3
1,0,0,0,1,5,0,-10000,13,6
0,0,-60,-1,1,5,0,0,13,1
1,-1,-100,0,-1,0,200,0,13,8
0,-1,0,1,-1,0,0,-10000,13,7
1,0,40,1,0,0,80,10000,13,5
0,-1,100,0,0,0,0,-4000,13,2
1,0,60,0,-1,-5,80,4000,14,9
0,1,-60,0,-1,0,0,6000,14,10
0,1,0,1,-1,5,0,-6000,14,11
0,0,-60,-1,1,-5,0,4000,14,14
0,1,100,0,1,0,-200,0,14,16
1,0,60,1,0,0,120,0,14,12
1,1,0,-1,0,0,-200,0,14,15
0,0,-40,-1,1,-5,0,-4000,14,13
0,0,-60,-1,1,5,0,0,15,1
1,0,0,0,0,-5,-80,10000,15,4
1,-1,0,1,-1,0,0,-10000,15,7
0,-1,-40,0,0,5,0,0,15,3
1,0,0,0,1,5,0,-10000,15,6
0,0,40,1,0,0,80,10000,15,5
0,-1,-100,0,-1,0,200,0,15,8
0,-1,100,0,0,0,0,-4000,15,2
0,1,0,1,-1,5,0,-6000,16,11
1,0,60,0,-1,-5,80,4000,16,9
1,0,60,1,0,0,120,0,16,12
