"indiv_id","sexF","consY","land","cattle51plus","smlstk101plus","buildingsMud","buildingsIron","vehicle","ageset2","ageset3","ageset4","educated","settlementYears","hhsize","olmareiHead","leadership"
1,0,1,150,0,1,1,1,0,0,0,1,0,15,10,1,0
2,0,1,240,0,1,2,0,0,0,0,0,0,32,11,1,0
3,0,1,150,1,1,0,2,0,0,1,0,0,42,12,1,1
4,0,1,250,0,0,1,1,0,0,0,0,0,2,1,1,0
5,0,1,10,0,1,0,2,0,0,0,0,0,30,6,1,0
6,0,1,85,1,1,0,3,1,0,0,0,1,29,6,1,0
7,0,1,90,1,1,0,2,0,0,0,0,1,15,6,1,0
8,0,1,140,1,1,0,2,1,0,0,0,1,30,7,1,0
9,1,0,78,0,1,1,1,1,0,0,0,0,13,4,0,0
10,1,0,36,0,0,1,0,1,0,0,0,1,20,4,0,0
11,1,0,20,0,0,1,0,0,0,0,0,1,17,3,0,1
12,1,0,36,0,0,1,1,1,0,0,0,1,5,2,0,0
13,1,0,36,0,0,1,1,1,0,0,0,1,4,2,0,1
14,1,0,36,0,0,0,1,0,0,0,1,0,20,5,0,0
15,1,0,36,1,1,1,1,0,0,1,0,0,15,4,0,1
16,1,0,10,0,0,1,1,0,0,0,0,0,3,2,0,0
17,1,0,45,0,1,1,1,1,0,0,0,1,5,3,0,0
18,1,0,36,0,0,1,1,1,0,0,0,0,10,4,0,0
19,0,0,75,0,0,0,2,0,0,0,0,0,25,9,1,0
20,0,0,180,0,1,2,1,0,0,0,0,1,11,6,1,1
21,0,0,100,1,1,3,3,0,0,1,0,0,50,24,1,0
22,0,0,85,0,0,1,1,0,0,0,0,1,30,7,1,0
23,0,0,80,0,0,2,0,0,0,0,0,0,22,8,1,0
24,0,0,85,0,0,1,1,0,0,0,0,1,32,10,1,0
25,0,0,56,0,0,1,1,1,0,0,0,1,50,8,1,0
26,0,0,50,0,1,1,0,0,0,0,0,0,3,14,1,1
27,0,0,16,0,0,2,1,0,0,0,0,0,40,11,1,0
28,0,0,16,0,0,2,1,0,0,0,0,0,28,8,1,0
29,1,1,80,1,1,1,1,0,0,1,0,0,10,6,1,1
30,1,1,62,1,1,1,1,0,0,0,0,0,10,5,0,0
31,1,1,25,0,0,1,0,0,0,0,0,0,10,4,0,0
32,1,1,58,0,0,0,1,1,0,0,0,0,3,4,0,1
33,1,1,36,0,0,1,1,0,0,0,0,0,6,3,0,1
34,1,1,38,0,1,1,1,1,0,0,0,0,6,6,1,1
35,1,1,21,0,0,0,1,0,0,0,0,0,4,2,1,0
36,1,1,42,0,1,1,0,0,0,1,0,0,6,3,1,0
37,1,1,36,1,0,1,0,0,0,1,0,0,4,4,0,1
38,1,1,36,0,0,1,0,0,0,1,0,0,6,3,1,0
39,0,1,85,1,1,0,2,1,0,0,0,0,2.5,5,1,0
40,0,0,150,1,1,0,2,1,0,0,0,1,18,5,0,0
41,0,0,230,1,1,0,2,0,0,0,0,0,1,7,0,0
42,0,1,225,1,1,2,2,1,0,0,0,0,26,9,1,1
43,0,1,192,1,1,2,2,1,0,0,0,1,5,9,1,0
44,0,1,66,0,1,1,0,0,0,0,0,1,1,7,1,1
45,0,1,130,1,1,2,0,0,0,0,0,0,1,7,1,0
46,0,1,150,0,0,1,1,0,0,0,0,0,25,7,1,0
47,0,1,105,1,1,2,2,0,0,1,0,0,44,22,1,1
48,0,1,150,1,0,0,4,0,0,0,0,0,56,35,1,0
49,1,1,10,0,0,1,0,0,0,0,1,0,30,5,0,0
50,1,1,300,1,0,1,0,0,0,0,0,0,28,5,0,1
51,1,1,150,1,0,1,0,0,0,0,0,0,5,6,0,0
52,1,1,150,1,0,1,1,0,0,0,1,0,33,8,0,0
53,1,1,0,1,0,0,1,0,0,0,0,0,16,3,0,0
54,1,1,28,0,0,0,1,1,0,0,0,0,4,8,0,1
