"","Policy_1","Policy_2","Policy_3","Policy_4","Policy_5","Effective_1","Effective_2","Effective_3","Effective_4","Effective_5","Condition","AgeGrp","Gender","SES","Education","Ethnic","BMI","Political","Government_Trust","Situation","Disposition","Help","OWght_Envir","OWght_Willpower","weights"
"1",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,"Control","[18,30[","Female","AB","3","White",16.8268384923867,3,-3,3,3,-3,-3,3,0.000676071268051432
"2",-2.33333333333333,0,2.33333333333333,-1,2.66666666666667,-2,-3,1,-1,1,"Control","[30,40[","Female","AB","4","White",18.4711671908551,4,1,-1,2,-3,1,3,0.000545279298606477
"3",2,0,1.33333333333333,-0.333333333333333,2.33333333333333,2,0,-2,-2,1,"Control","[18,30[","Female","AB","4","White",21.0796766264734,4,0,1.5,1,-2,1,0,0.000676071268051432
"4",3,1.66666666666667,2.66666666666667,2,3,2,-1,0,1,2,"Control","[30,40[","Female","AB","4","White",21.9480503477136,2,0,0,1,-2,2,1,0.000545279298606477
"5",0,0,0,-1,-1,0,0,0,-1,-1,"Control","[30,40[","Female","AB","2","White",18.9020921415084,4,0,0,0,0,0,1,0.000545279298606477
"6",1.33333333333333,1.33333333333333,2,1.33333333333333,2.66666666666667,0,0,1,2,2,"Control","[30,40[","Female","AB","2","White",22.851078279632,4,1,0,1,1,1,0,0.000545279298606477
"7",2,1.33333333333333,1.66666666666667,-3,2,1,0,1,-3,-1,"Control","[18,30[","Female","AB","4","Other",21.6450137042286,4,-2,2,-1,0,2,2,0.000676071268051432
"8",-2.66666666666667,-2.33333333333333,-3,-3,-3,-3,-3,-3,-3,-3,"Control","[30,40[","Female","AB","4","White",21.7993059654758,5,1,-1,1.5,2,-2,2,0.000545279298606477
"9",1,0,-0.666666666666667,-1,3,2,-2,-2,3,3,"Control","[18,30[","Female","AB","2","White",22.6575040796566,3,-2,-1,2,-2,1,2,0.000676071268051432
"10",3,2.33333333333333,3,3,3,2,1,1,2,1,"Control","[30,40[","Female","AB","4","White",22.4058769513315,6,0,0.5,2,-3,2,3,0.000545279298606477
"11",1,1.66666666666667,2,-0.333333333333333,2,0,-1,0,-1,1,"Control","[30,40[","Female","AB","3","White",22.0615684573885,5,0,1,2,1,1,1,0.000545279298606477
