"","Policy_1","Policy_2","Policy_3","Policy_4","Policy_5","Effective_1","Effective_2","Effective_3","Effective_4","Effective_5","Condition","AgeGrp","Gender","IncomeGrp","Education","Ethnic","Race","BMI","Political","Government_Trust","Situation","Disposition","Help","OWght_Envir","OWght_Willpower","weights"
"1",2,2.66666666666667,2.33333333333333,3,2.33333333333333,0,2,1,2,3,"Control","[40,Inf[","Female","[0,25K[","mid","Other","White",246.925822485207,4,-1,1,2,2,1,2,0.0020885973584926
"2",-1,-1,1,1,2,-1,-1,1,1,2,"Conscious","[40,Inf[","Male","[0,25K[","mid","Other","White",206.955286649474,2,-1,1,1,1,1,1,0.00254935003686576
"3",0.333333333333333,3,3,3,2.66666666666667,1,2,1,3,2,"Non-Conscious","[25,30[","Female","[25K,50K[","mid","Other","White",206.5,2,-3,0,1,1,3,1,0.00030140317859617
"4",1.33333333333333,2,2,-2,1.33333333333333,-1,0,0,1,-1,"Control","[25,30[","Male","[0,25K[","mid","Other","White",79.7768096760683,3,-2,2,1,3,2,2,0.000270127263179463
"5",1.33333333333333,3,2.33333333333333,-3,2.66666666666667,1,1,1,1,-1,"Conscious","[25,30[","Male","[25K,50K[","mid","Other","White",72.6310956754145,5,-3,1.5,-3,3,3,-2,0.000198865381801526
"6",3,3,-2.66666666666667,2,3,3,3,-2,3,2,"Non-Conscious","[30,40[","Female","[25K,50K[","mid","Other","White",64.5609739337018,1,2,1,-1,1,1,-2,0.000397070133003293
"7",-1,2,2.66666666666667,1,0.333333333333333,-3,-3,-3,-2,-2,"Non-Conscious","[25,30[","Female","[25K,50K[","high","Other","Other",57.5922941385895,2,-1,2,1,1,-1,-3,0.00030140317859617
"8",2.66666666666667,2.33333333333333,2,0.666666666666667,3,2,1,1,1,2,"Conscious","[25,30[","Female","[0,25K[","high","Other","White",56.3226748401371,5,-1,0,2,1,2,1,0.000409408691498814
"9",-0.666666666666667,2,2,-2,0.333333333333333,1,1,2,1,-1,"Non-Conscious","[25,30[","Female","[25K,50K[","high","Other","White",54.6831449218454,2,1,-1,2,2,1,3,0.00030140317859617
"10",0,1.66666666666667,3,-3,2,0,2,3,-3,2,"Control","[25,30[","Female","[0,25K[","low","Other","White",53.250196914595,4,-3,1,3,1,3,3,0.000409408691498814
"11",2.33333333333333,0.666666666666667,3,0.666666666666667,3,3,0,1,3,0,"Non-Conscious","[30,40[","Female","[25K,50K[","low","Other","White",51.5031877521382,2,1,-0.5,2,2,0,1,0.000397070133003293
"12",3,-1,3,1,3,1,-3,1,2,2,"Non-Conscious","[30,40[","Female","[0,25K[","high","Latino","White",51.3706252910112,2,1,0,0,1,2,1,0.000539357163860392
"13",3,0,0,-3,3,3,0,-3,3,3,"Non-Conscious","[25,30[","Female","[0,25K[","mid","Other","White",51.3706252910112,1,-3,1,1,-3,3,3,0.000409408691498814
"14",2.33333333333333,2.33333333333333,3,3,3,-1,-3,-3,3,1,"Control","[18,25[","Female","[0,25K[","mid","Other","White",51.2148730245333,3,-2,1,3,1,3,2,0.000828806318581525
"15",0,0,0,-3,0,1,1,1,1,1,"Conscious","[30,40[","Male","[50K,Inf[","mid","Other","White",50.7940640576346,6,1,2,2,2,2,2,0.000622674973665024
"16",1,2,3,1,3,2,2,2,2,2,"Non-Conscious","[40,Inf[","Male","[25K,50K[","high","Other","White",50.2192147241437,2,-1,-1,3,3,1,3,0.00187680970243357
"17",1.33333333333333,1.66666666666667,1.66666666666667,-1.33333333333333,1,-1,-1,-1,1,-1,"Conscious","[25,30[","Female","[0,25K[","mid","Other","White",49.9220596074328,6,-2,1,2,3,2,1,0.000409408691498814
"18",-0.333333333333333,1,0.666666666666667,0,2.66666666666667,-1,-1,1,2,0,"Conscious","[18,25[","Male","[0,25K[","low","Other","White",49.7709668857319,3,0,1,1,0,2,1,0.000473252420511348
"19",1,1,1,-3,1.33333333333333,0,-3,-2,-3,0,"Control","[25,30[","Female","[25K,50K[","mid","Other","White",48.3884499633095,4,0,0,3,2,1,-2,0.00030140317859617
"20",1.33333333333333,1.66666666666667,2.33333333333333,-0.666666666666667,1.66666666666667,1,2,2,1,-1,"Conscious","[40,Inf[","Female","[25K,50K[","mid","Other","Other",48.2579909538517,5,1,1,2,3,3,1,0.00153760751964656
"21",1.33333333333333,1.66666666666667,1.33333333333333,0.333333333333333,3,2,1,1,-2,3,"Non-Conscious","[25,30[","Female","[50K,Inf[","mid","Latino","White",48.0613578414657,1,-2,1,1,-2,1,-2,0.000518487673694042
"22",0,3,3,-3,2,-3,3,2,-3,2,"Non-Conscious","[30,40[","Female","[0,25K[","high","Other","White",47.8278235468036,4,-3,1.5,1.5,1,2,0,0.000539357163860392
"23",0,2.33333333333333,1,-3,2,-2,1,-3,-3,1,"Non-Conscious","[25,30[","Male","[0,25K[","low","Other","White",46.9421231107516,1,-2,-0.5,1,-2,2,-1,0.000270127263179463
"24",-1,-1.66666666666667,-1,-0.333333333333333,2.66666666666667,-3,-3,-3,-2,1,"Control","[30,40[","Female","[25K,50K[","high","Other","White",46.8712670758675,2,-2,-2,2,3,1,-2,0.000397070133003293
"25",1,0.666666666666667,1,0,1,1,-1,1,0,0,"Non-Conscious","[18,25[","Male","[0,25K[","low","Other","White",46.111778951953,3,-1,0,1,1,1,1,0.000473252420511348
"26",3,3,3,-3,3,3,1,-1,-1,1,"Non-Conscious","[25,30[","Male","[25K,50K[","mid","Other","White",45.9147106049314,1,1,1,2,-1,2,1,0.000198865381801526
"27",0.333333333333333,1.66666666666667,0.333333333333333,2,2,0,1,0,2,1,"Conscious","[18,25[","Male","[0,25K[","low","Other","White",45.9147106049314,2,-3,1,2,2,2,3,0.000473252420511348
"28",2,2,0.666666666666667,2,1.66666666666667,2,2,2,2,2,"Conscious","[18,25[","Female","[0,25K[","mid","Latino","White",45.4866422428157,6,2,1,1.5,2,1,2,0.000828806318581525
"29",-1,0,0,-2.33333333333333,0,1,0,0,0,0,"Non-Conscious","[40,Inf[","Female","[25K,50K[","mid","Other","White",45.1707222386478,3,-1,0,1,-1,2,1,0.00153760751964656
